order_id,order_date,user_id,name,city,membership,restaurant_id,restaurant_name,cuisine,rating,total_amount,year,month,month_name,day_of_week,quarter,week_of_year,is_weekend,season,order_size
16,2023-07-17,1321,User_1321,Pune,Gold,149,Amma Restaurant South Indian,Mexican,3.6,475.74,2023,7,July,Monday,3,29,False,Summer,Medium
17,2023-04-09,1896,User_1896,Pune,Regular,421,Ruchi Foods Chinese,,,1002.51,2023,4,April,Sunday,2,14,True,Spring,Extra Large
18,2023-04-23,1617,User_1617,Pune,Gold,414,Darbar Delights South Indian,,,736.89,2023,4,April,Sunday,2,16,True,Spring,Large
19,2023-12-27,330,User_330,Chennai,Regular,73,Spice Mess Andhra,Mexican,3.1,392.59,2023,12,December,Wednesday,4,52,False,Winter,Medium
20,2023-02-03,2567,User_2567,Bangalore,Gold,52,Udupi Curry House South Indian,Mexican,4.9,362.01,2023,2,February,Friday,1,5,False,Winter,Medium
21,2023-08-13,1610,User_1610,Pune,Regular,186,Darbar Restaurant North Indian,Indian,4.3,743.68,2023,8,August,Sunday,3,32,True,Summer,Large
22,2023-07-12,688,User_688,Hyderabad,Gold,279,Sri Tiffins Andhra,,,507.82,2023,7,July,Wednesday,3,28,False,Summer,Medium
23,2023-06-14,2640,User_2640,Bangalore,Gold,83,Darbar Mess Pure Veg,Chinese,3.5,1025.36,2023,6,June,Wednesday,2,24,False,Summer,Extra Large
24,2023-01-22,2403,User_2403,Pune,Gold,434,Amma Kitchen Punjabi,,,412.5,2023,1,January,Sunday,1,3,True,Winter,Medium
25,2023-06-07,288,User_288,Pune,Regular,18,Annapurna Kitchen Family Restaurant,Italian,4.5,147.9,2023,6,June,Wednesday,2,23,False,Summer,Small
26,2023-12-24,2915,User_2915,Chennai,Gold,129,New Cafe North Indian,Indian,4.1,933.31,2023,12,December,Sunday,4,51,True,Winter,Extra Large
27,2023-08-08,1056,User_1056,Bangalore,Regular,399,Swagath Cafe Multicuisine,,,678.38,2023,8,August,Tuesday,3,32,False,Summer,Large
28,2023-03-23,2370,User_2370,Bangalore,Regular,63,Ruchi Foods South Indian,Italian,5.0,900.74,2023,3,March,Thursday,1,12,False,Spring,Extra Large
29,2023-09-20,2905,User_2905,Pune,Gold,115,Annapurna Eatery Non-Veg,Chinese,3.3,903.0,2023,9,September,Wednesday,3,38,False,Fall,Extra Large
30,2023-04-23,2009,User_2009,Chennai,Gold,18,Annapurna Kitchen Family Restaurant,Italian,4.5,996.26,2023,4,April,Sunday,2,16,True,Spring,Extra Large
31,2023-04-03,1986,User_1986,Bangalore,Regular,190,Amma Restaurant Pure Veg,Chinese,3.1,199.16,2023,4,April,Monday,2,14,False,Spring,Small
32,2023-01-26,1407,User_1407,Pune,Gold,93,Swagath Cafe Multicuisine,Chinese,4.9,741.1,2023,1,January,Thursday,1,4,False,Winter,Large
33,2023-07-04,1761,User_1761,Bangalore,Gold,346,Amma Dhaba Non-Veg,,,957.07,2023,7,July,Tuesday,3,27,False,Summer,Extra Large
34,2023-06-15,844,User_844,Chennai,Gold,350,Classic Curry House South Indian,,,455.96,2023,6,June,Thursday,2,24,False,Summer,Medium
35,2023-05-15,2858,User_2858,Hyderabad,Regular,291,Annapurna Foods Non-Veg,,,121.81,2023,5,May,Monday,2,20,False,Spring,Small
36,2023-09-12,186,User_186,Chennai,Regular,113,Darbar Biryani Pure Veg,Chinese,5.0,140.83,2023,9,September,Tuesday,3,37,False,Fall,Small
37,2023-02-01,952,User_952,Chennai,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3,1198.64,2023,2,February,Wednesday,1,5,False,Winter,Extra Large
38,2023-01-11,2972,User_2972,Bangalore,Regular,376,Amma Cafe Non-Veg,,,751.82,2023,1,January,Wednesday,1,2,False,Winter,Large
39,2023-02-23,118,User_118,Pune,Regular,170,Spice Tiffins Family Restaurant,Mexican,4.4,596.06,2023,2,February,Thursday,1,8,False,Winter,Medium
40,2023-07-25,2773,User_2773,Pune,Gold,63,Ruchi Foods South Indian,Italian,5.0,622.5,2023,7,July,Tuesday,3,30,False,Summer,Large
41,2023-01-09,1071,User_1071,Hyderabad,Gold,145,Amma Restaurant South Indian,Italian,3.1,753.16,2023,1,January,Monday,1,2,False,Winter,Large
42,2023-01-21,2274,User_2274,Chennai,Regular,121,Sri Delights Non-Veg,Indian,4.1,955.51,2023,1,January,Saturday,1,3,True,Winter,Extra Large
43,2023-03-26,380,User_380,Bangalore,Regular,256,Sri Curry House Andhra,Italian,3.1,850.52,2023,3,March,Sunday,1,12,True,Spring,Large
44,2023-12-04,633,User_633,Pune,Gold,161,Annapurna Biryani South Indian,Mexican,3.8,512.14,2023,12,December,Monday,4,49,False,Winter,Medium
45,2023-09-13,1146,User_1146,Pune,Gold,426,Royal Foods Non-Veg,,,914.87,2023,9,September,Wednesday,3,37,False,Fall,Extra Large
46,2023-12-25,2294,User_2294,Pune,Regular,72,Sri Foods Chinese,Mexican,3.4,602.82,2023,12,December,Monday,4,52,False,Winter,Large
47,2023-09-30,505,User_505,Hyderabad,Gold,69,Classic Tiffins Punjabi,Chinese,4.9,929.24,2023,9,September,Saturday,3,39,True,Fall,Extra Large
48,2023-11-30,372,User_372,Chennai,Regular,397,Amma Foods Family Restaurant,,,957.14,2023,11,November,Thursday,4,48,False,Fall,Extra Large
49,2023-02-10,2911,User_2911,Pune,Regular,234,Swagath Kitchen North Indian,Chinese,3.7,183.82,2023,2,February,Friday,1,6,False,Winter,Small
50,2023-09-26,1673,User_1673,Chennai,Regular,118,Amma Mess Pure Veg,Mexican,3.8,298.54,2023,9,September,Tuesday,3,39,False,Fall,Small
51,2023-05-10,1853,User_1853,Hyderabad,Gold,381,New Delights North Indian,,,893.66,2023,5,May,Wednesday,2,19,False,Spring,Large
52,2023-08-18,799,User_799,Chennai,Regular,462,Grand Curry House Family Restaurant,,,1423.59,2023,8,August,Friday,3,33,False,Summer,Extra Large
53,2023-12-14,638,User_638,Hyderabad,Regular,262,Hotel Cafe Punjabi,Chinese,4.9,261.16,2023,12,December,Thursday,4,50,False,Winter,Small
54,2023-09-06,1042,User_1042,Pune,Gold,266,Annapurna Delights Multicuisine,Italian,3.9,334.11,2023,9,September,Wednesday,3,36,False,Fall,Medium
55,2023-06-08,2610,User_2610,Pune,Regular,172,Darbar Eatery Family Restaurant,Italian,3.9,838.38,2023,6,June,Thursday,2,23,False,Summer,Large
56,2023-10-20,2560,User_2560,Pune,Gold,215,Spice Biryani Punjabi,Mexican,4.4,1499.8,2023,10,October,Friday,4,42,False,Fall,Extra Large
57,2023-06-16,392,User_392,Chennai,Regular,273,Swagath Delights Andhra,Indian,3.9,852.11,2023,6,June,Friday,2,24,False,Summer,Large
58,2023-02-22,606,User_606,Hyderabad,Gold,361,Royal Dhaba Punjabi,,,1281.55,2023,2,February,Wednesday,1,8,False,Winter,Extra Large
59,2023-11-07,1785,User_1785,Bangalore,Gold,247,Hotel Mess Punjabi,Mexican,3.2,169.22,2023,11,November,Tuesday,4,45,False,Fall,Small
60,2023-04-10,1077,User_1077,Chennai,Regular,373,Sai Delights Chinese,,,544.55,2023,4,April,Monday,2,15,False,Spring,Medium
61,2023-08-30,1753,User_1753,Hyderabad,Gold,130,Royal Restaurant South Indian,Indian,4.6,1134.71,2023,8,August,Wednesday,3,35,False,Summer,Extra Large
62,2023-11-24,723,User_723,Bangalore,Gold,165,Udupi Kitchen Chinese,Mexican,4.3,722.78,2023,11,November,Friday,4,47,False,Fall,Large
63,2023-07-27,205,User_205,Pune,Gold,339,Annapurna Eatery South Indian,,,1107.3,2023,7,July,Thursday,3,30,False,Summer,Extra Large
64,2023-03-09,1565,User_1565,Pune,Regular,189,Hotel Curry House Non-Veg,Indian,4.8,625.41,2023,3,March,Thursday,1,10,False,Spring,Large
65,2023-04-07,2905,User_2905,Pune,Gold,220,Spice Kitchen North Indian,Mexican,3.2,881.86,2023,4,April,Friday,2,14,False,Spring,Large
66,2023-08-12,340,User_340,Chennai,Regular,70,Swagath Delights Punjabi,Chinese,4.7,1356.31,2023,8,August,Saturday,3,32,True,Summer,Extra Large
67,2023-08-07,2716,User_2716,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5,781.02,2023,8,August,Monday,3,32,False,Summer,Large
68,2023-04-19,850,User_850,Chennai,Regular,292,Amma Cafe North Indian,,,165.97,2023,4,April,Wednesday,2,16,False,Spring,Small
69,2023-07-10,929,User_929,Chennai,Gold,162,New Foods Multicuisine,Italian,3.3,1377.54,2023,7,July,Monday,3,28,False,Summer,Extra Large
70,2023-09-23,179,User_179,Bangalore,Regular,463,Hotel Delights Chinese,,,890.18,2023,9,September,Saturday,3,38,True,Fall,Large
71,2023-05-18,773,User_773,Pune,Gold,256,Sri Curry House Andhra,Italian,3.1,1401.97,2023,5,May,Thursday,2,20,False,Spring,Extra Large
72,2023-11-28,204,User_204,Bangalore,Regular,413,Sai Curry House Punjabi,,,575.36,2023,11,November,Tuesday,4,48,False,Fall,Medium
73,2023-04-19,1725,User_1725,Bangalore,Gold,80,Spice Mess Chinese,Italian,3.9,765.76,2023,4,April,Wednesday,2,16,False,Spring,Large
74,2023-12-01,1284,User_1284,Chennai,Regular,229,Ruchi Mess Family Restaurant,Italian,3.8,1223.01,2023,12,December,Friday,4,48,False,Winter,Extra Large
75,2023-08-22,849,User_849,Pune,Regular,444,Classic Cafe Family Restaurant,,,700.31,2023,8,August,Tuesday,3,34,False,Summer,Large
76,2023-08-28,1565,User_1565,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5,1117.61,2023,8,August,Monday,3,35,False,Summer,Extra Large
77,2023-10-22,1632,User_1632,Bangalore,Regular,80,Spice Mess Chinese,Italian,3.9,851.28,2023,10,October,Sunday,4,42,True,Fall,Large
78,2023-12-24,2286,User_2286,Chennai,Regular,432,Hotel Eatery Pure Veg,,,271.81,2023,12,December,Sunday,4,51,True,Winter,Small
79,2023-03-09,1396,User_1396,Pune,Gold,242,Classic Dhaba Punjabi,Mexican,4.0,1052.51,2023,3,March,Thursday,1,10,False,Spring,Extra Large
80,2023-02-23,1965,User_1965,Hyderabad,Gold,291,Annapurna Foods Non-Veg,,,1323.7,2023,2,February,Thursday,1,8,False,Winter,Extra Large
81,2023-08-18,2320,User_2320,Hyderabad,Gold,368,Sri Dhaba Pure Veg,,,537.78,2023,8,August,Friday,3,33,False,Summer,Medium
82,2023-01-11,38,User_38,Chennai,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4,1326.03,2023,1,January,Wednesday,1,2,False,Winter,Extra Large
83,2023-09-03,1149,User_1149,Chennai,Gold,347,Amma Delights Chinese,,,961.02,2023,9,September,Sunday,3,35,True,Fall,Extra Large
84,2023-12-29,2879,User_2879,Pune,Gold,196,Hotel Curry House Chinese,Italian,5.0,488.53,2023,12,December,Friday,4,52,False,Winter,Medium
85,2023-11-12,2917,User_2917,Bangalore,Gold,201,Spice Cafe Pure Veg,Mexican,3.4,1102.52,2023,11,November,Sunday,4,45,True,Fall,Extra Large
86,2023-10-28,2563,User_2563,Hyderabad,Regular,423,Royal Tiffins Multicuisine,,,1018.04,2023,10,October,Saturday,4,43,True,Fall,Extra Large
87,2023-04-14,1750,User_1750,Pune,Gold,385,Ruchi Mess Multicuisine,,,1103.42,2023,4,April,Friday,2,15,False,Spring,Extra Large
88,2023-06-01,58,User_58,Bangalore,Regular,320,Hotel Cafe Multicuisine,,,196.11,2023,6,June,Thursday,2,22,False,Summer,Small
89,2023-06-20,1619,User_1619,Bangalore,Regular,158,Hotel Biryani Pure Veg,Indian,4.5,619.05,2023,6,June,Tuesday,2,25,False,Summer,Large
90,2023-01-16,2760,User_2760,Hyderabad,Regular,320,Hotel Cafe Multicuisine,,,264.05,2023,1,January,Monday,1,3,False,Winter,Small
91,2023-07-07,2309,User_2309,Chennai,Gold,476,Royal Curry House Multicuisine,,,391.36,2023,7,July,Friday,3,27,False,Summer,Medium
92,2023-01-07,81,User_81,Chennai,Regular,200,Annapurna Restaurant Pure Veg,Chinese,3.9,870.09,2023,1,January,Saturday,1,1,True,Winter,Large
93,2023-01-22,2874,User_2874,Hyderabad,Regular,1,Royal Kitchen Family Restaurant,Chinese,4.8,441.18,2023,1,January,Sunday,1,3,True,Winter,Medium
94,2023-12-10,587,User_587,Chennai,Regular,176,Classic Delights North Indian,Italian,4.0,285.28,2023,12,December,Sunday,4,49,True,Winter,Small
95,2023-02-20,570,User_570,Bangalore,Gold,280,Taste of Dhaba Andhra,,,795.58,2023,2,February,Monday,1,8,False,Winter,Large
96,2023-09-17,1048,User_1048,Pune,Regular,157,Sai Restaurant Family Restaurant,Italian,4.5,711.84,2023,9,September,Sunday,3,37,True,Fall,Large
97,2023-09-18,614,User_614,Hyderabad,Regular,335,New Biryani Family Restaurant,,,190.14,2023,9,September,Monday,3,38,False,Fall,Small
98,2023-12-05,1135,User_1135,Bangalore,Regular,161,Annapurna Biryani South Indian,Mexican,3.8,1225.83,2023,12,December,Tuesday,4,49,False,Winter,Extra Large
99,2023-11-25,549,User_549,Pune,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9,146.68,2023,11,November,Saturday,4,47,True,Fall,Small
100,2023-12-15,2811,User_2811,Bangalore,Gold,484,Taste of Biryani Punjabi,,,632.94,2023,12,December,Friday,4,50,False,Winter,Large
101,2023-09-24,1337,User_1337,Bangalore,Regular,96,Annapurna Biryani Non-Veg,Mexican,4.4,852.59,2023,9,September,Sunday,3,38,True,Fall,Large
102,2023-03-07,991,User_991,Pune,Regular,482,Classic Tiffins Pure Veg,,,913.83,2023,3,March,Tuesday,1,10,False,Spring,Extra Large
103,2023-04-11,1922,User_1922,Chennai,Gold,492,Swagath Kitchen North Indian,,,1017.18,2023,4,April,Tuesday,2,15,False,Spring,Extra Large
104,2023-10-03,1115,User_1115,Chennai,Regular,379,New Dhaba South Indian,,,1191.17,2023,10,October,Tuesday,4,40,False,Fall,Extra Large
105,2023-06-01,804,User_804,Bangalore,Gold,407,Grand Cafe Chinese,,,109.14,2023,6,June,Thursday,2,22,False,Summer,Small
106,2023-11-18,2873,User_2873,Pune,Gold,68,Taste of Biryani Andhra,Italian,4.1,1352.79,2023,11,November,Saturday,4,46,True,Fall,Extra Large
107,2023-03-05,1118,User_1118,Pune,Gold,388,Spice Cafe South Indian,,,1037.09,2023,3,March,Sunday,1,9,True,Spring,Extra Large
108,2023-04-16,1493,User_1493,Chennai,Regular,5,Udupi Foods South Indian,Chinese,4.8,1375.29,2023,4,April,Sunday,2,15,True,Spring,Extra Large
109,2023-05-27,532,User_532,Hyderabad,Gold,432,Hotel Eatery Pure Veg,,,1461.82,2023,5,May,Saturday,2,21,True,Spring,Extra Large
110,2023-06-04,1350,User_1350,Bangalore,Gold,220,Spice Kitchen North Indian,Mexican,3.2,932.09,2023,6,June,Sunday,2,22,True,Summer,Extra Large
111,2023-03-30,1416,User_1416,Pune,Regular,66,Swagath Dhaba Punjabi,Italian,4.7,1346.23,2023,3,March,Thursday,1,13,False,Spring,Extra Large
112,2023-11-15,2446,User_2446,Bangalore,Gold,447,Amma Biryani South Indian,,,149.76,2023,11,November,Wednesday,4,46,False,Fall,Small
113,2023-04-13,2265,User_2265,Pune,Gold,28,Swagath Delights Multicuisine,Chinese,3.6,475.81,2023,4,April,Thursday,2,15,False,Spring,Medium
114,2023-07-29,142,User_142,Pune,Regular,390,Grand Restaurant Pure Veg,,,842.42,2023,7,July,Saturday,3,30,True,Summer,Large
115,2023-02-17,827,User_827,Chennai,Gold,184,Annapurna Tiffins Punjabi,Mexican,3.5,367.72,2023,2,February,Friday,1,7,False,Winter,Medium
116,2023-03-12,2476,User_2476,Pune,Regular,319,Darbar Eatery Family Restaurant,,,296.82,2023,3,March,Sunday,1,10,True,Spring,Small
117,2023-05-07,1449,User_1449,Pune,Gold,328,Ruchi Curry House Andhra,,,1485.31,2023,5,May,Sunday,2,18,True,Spring,Extra Large
118,2023-07-22,1209,User_1209,Bangalore,Gold,209,Royal Tiffins Family Restaurant,Indian,3.6,880.41,2023,7,July,Saturday,3,29,True,Summer,Large
119,2023-09-18,1741,User_1741,Pune,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4,1008.64,2023,9,September,Monday,3,38,False,Fall,Extra Large
120,2023-08-06,1385,User_1385,Bangalore,Regular,379,New Dhaba South Indian,,,1146.39,2023,8,August,Sunday,3,31,True,Summer,Extra Large
121,2023-07-31,383,User_383,Hyderabad,Regular,438,Grand Biryani Pure Veg,,,930.64,2023,7,July,Monday,3,31,False,Summer,Extra Large
122,2023-08-01,2661,User_2661,Chennai,Gold,376,Amma Cafe Non-Veg,,,769.46,2023,8,August,Tuesday,3,31,False,Summer,Large
123,2023-12-17,2440,User_2440,Pune,Regular,73,Spice Mess Andhra,Mexican,3.1,1492.73,2023,12,December,Sunday,4,50,True,Winter,Extra Large
124,2023-06-07,257,User_257,Chennai,Regular,102,Darbar Foods Andhra,Italian,4.9,996.95,2023,6,June,Wednesday,2,23,False,Summer,Extra Large
125,2023-10-09,1649,User_1649,Chennai,Gold,14,Taste of Tiffins North Indian,Indian,3.8,1345.86,2023,10,October,Monday,4,41,False,Fall,Extra Large
126,2023-09-29,970,User_970,Bangalore,Regular,122,Amma Eatery Non-Veg,Indian,3.9,320.68,2023,9,September,Friday,3,39,False,Fall,Medium
127,2023-01-04,2913,User_2913,Pune,Gold,309,Ruchi Curry House Multicuisine,,,1251.4,2023,1,January,Wednesday,1,1,False,Winter,Extra Large
128,2023-06-10,42,User_42,Bangalore,Regular,152,Hotel Curry House Punjabi,Indian,4.8,379.57,2023,6,June,Saturday,2,23,True,Summer,Medium
129,2023-11-28,1227,User_1227,Hyderabad,Gold,46,Udupi Delights Family Restaurant,Chinese,3.6,158.62,2023,11,November,Tuesday,4,48,False,Fall,Small
130,2023-09-05,1128,User_1128,Pune,Gold,418,Annapurna Foods Multicuisine,,,710.77,2023,9,September,Tuesday,3,36,False,Fall,Large
131,2023-08-10,2850,User_2850,Hyderabad,Gold,389,Ruchi Mess Multicuisine,,,1406.07,2023,8,August,Thursday,3,32,False,Summer,Extra Large
132,2023-03-03,778,User_778,Hyderabad,Gold,302,Spice Curry House Andhra,,,198.22,2023,3,March,Friday,1,9,False,Spring,Small
133,2023-03-29,2384,User_2384,Pune,Regular,165,Udupi Kitchen Chinese,Mexican,4.3,872.28,2023,3,March,Wednesday,1,13,False,Spring,Large
134,2023-03-24,45,User_45,Hyderabad,Gold,220,Spice Kitchen North Indian,Mexican,3.2,775.17,2023,3,March,Friday,1,12,False,Spring,Large
135,2023-11-09,912,User_912,Bangalore,Regular,483,Darbar Restaurant Family Restaurant,,,365.07,2023,11,November,Thursday,4,45,False,Fall,Medium
136,2023-02-16,2643,User_2643,Chennai,Regular,175,Sai Biryani Non-Veg,Chinese,4.1,968.84,2023,2,February,Thursday,1,7,False,Winter,Extra Large
137,2023-05-27,1603,User_1603,Chennai,Gold,20,Hotel Cafe Punjabi,Indian,3.7,1401.56,2023,5,May,Saturday,2,21,True,Spring,Extra Large
138,2023-05-09,880,User_880,Pune,Regular,384,Annapurna Biryani Andhra,,,1140.38,2023,5,May,Tuesday,2,19,False,Spring,Extra Large
139,2023-04-20,1639,User_1639,Hyderabad,Regular,19,Classic Biryani Chinese,Indian,3.6,1446.43,2023,4,April,Thursday,2,16,False,Spring,Extra Large
140,2023-03-13,765,User_765,Hyderabad,Gold,381,New Delights North Indian,,,1381.41,2023,3,March,Monday,1,11,False,Spring,Extra Large
141,2023-11-12,1831,User_1831,Hyderabad,Gold,384,Annapurna Biryani Andhra,,,1129.47,2023,11,November,Sunday,4,45,True,Fall,Extra Large
142,2023-02-07,1860,User_1860,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2,1331.64,2023,2,February,Tuesday,1,6,False,Winter,Extra Large
143,2023-11-22,1729,User_1729,Chennai,Gold,259,Amma Curry House Family Restaurant,Mexican,3.7,158.75,2023,11,November,Wednesday,4,47,False,Fall,Small
144,2023-04-16,2519,User_2519,Chennai,Gold,452,Classic Delights Multicuisine,,,247.03,2023,4,April,Sunday,2,15,True,Spring,Small
145,2023-09-17,1243,User_1243,Hyderabad,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9,365.51,2023,9,September,Sunday,3,37,True,Fall,Medium
146,2023-04-20,93,User_93,Bangalore,Regular,2,Royal Delights South Indian,Indian,4.1,1250.74,2023,4,April,Thursday,2,16,False,Spring,Extra Large
147,2023-05-27,1821,User_1821,Hyderabad,Regular,268,Annapurna Biryani Multicuisine,Indian,3.8,172.91,2023,5,May,Saturday,2,21,True,Spring,Small
148,2023-02-06,1975,User_1975,Bangalore,Regular,73,Spice Mess Andhra,Mexican,3.1,607.82,2023,2,February,Monday,1,6,False,Winter,Large
149,2023-06-24,2337,User_2337,Bangalore,Gold,345,Sai Tiffins Chinese,,,932.79,2023,6,June,Saturday,2,25,True,Summer,Extra Large
150,2023-03-01,2136,User_2136,Hyderabad,Regular,486,Udupi Mess Andhra,,,1402.24,2023,3,March,Wednesday,1,9,False,Spring,Extra Large
151,2023-12-07,863,User_863,Bangalore,Gold,474,Annapurna Tiffins Pure Veg,,,1148.35,2023,12,December,Thursday,4,49,False,Winter,Extra Large
152,2023-09-29,2115,User_2115,Pune,Gold,176,Classic Delights North Indian,Italian,4.0,112.31,2023,9,September,Friday,3,39,False,Fall,Small
153,2023-02-16,2832,User_2832,Hyderabad,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3,641.49,2023,2,February,Thursday,1,7,False,Winter,Large
154,2023-05-28,623,User_623,Pune,Gold,244,Amma Tiffins South Indian,Italian,4.3,221.42,2023,5,May,Sunday,2,21,True,Spring,Small
155,2023-03-12,2523,User_2523,Pune,Gold,90,Classic Biryani Pure Veg,Italian,4.8,484.27,2023,3,March,Sunday,1,10,True,Spring,Medium
156,2023-08-02,282,User_282,Chennai,Gold,179,Annapurna Foods Multicuisine,Italian,3.5,1373.33,2023,8,August,Wednesday,3,31,False,Summer,Extra Large
157,2023-05-26,436,User_436,Bangalore,Gold,120,Classic Biryani Multicuisine,Italian,3.2,439.11,2023,5,May,Friday,2,21,False,Spring,Medium
158,2023-01-16,2732,User_2732,Hyderabad,Regular,182,Annapurna Restaurant Andhra,Mexican,4.8,439.9,2023,1,January,Monday,1,3,False,Winter,Medium
159,2023-01-04,2152,User_2152,Chennai,Gold,357,Grand Mess Punjabi,,,1070.88,2023,1,January,Wednesday,1,1,False,Winter,Extra Large
160,2023-03-30,1291,User_1291,Chennai,Gold,381,New Delights North Indian,,,139.67,2023,3,March,Thursday,1,13,False,Spring,Small
161,2023-09-29,354,User_354,Chennai,Regular,319,Darbar Eatery Family Restaurant,,,175.84,2023,9,September,Friday,3,39,False,Fall,Small
162,2023-11-06,939,User_939,Chennai,Regular,208,New Curry House South Indian,Mexican,4.7,763.73,2023,11,November,Monday,4,45,False,Fall,Large
163,2023-12-26,2852,User_2852,Pune,Regular,86,Sri Curry House Chinese,Indian,4.2,190.64,2023,12,December,Tuesday,4,52,False,Winter,Small
164,2023-08-08,2241,User_2241,Chennai,Regular,104,Grand Dhaba South Indian,Chinese,4.9,411.65,2023,8,August,Tuesday,3,32,False,Summer,Medium
165,2023-05-12,1982,User_1982,Chennai,Gold,325,Sri Cafe North Indian,,,761.84,2023,5,May,Friday,2,19,False,Spring,Large
166,2023-10-06,1583,User_1583,Hyderabad,Gold,169,Ruchi Curry House Pure Veg,Italian,4.2,456.5,2023,10,October,Friday,4,40,False,Fall,Medium
167,2023-10-11,1644,User_1644,Bangalore,Regular,483,Darbar Restaurant Family Restaurant,,,427.18,2023,10,October,Wednesday,4,41,False,Fall,Medium
168,2023-06-15,1437,User_1437,Hyderabad,Gold,135,Amma Eatery Non-Veg,Indian,3.7,1357.22,2023,6,June,Thursday,2,24,False,Summer,Extra Large
169,2023-04-07,2475,User_2475,Pune,Gold,320,Hotel Cafe Multicuisine,,,1013.3,2023,4,April,Friday,2,14,False,Spring,Extra Large
170,2023-03-09,2134,User_2134,Hyderabad,Regular,290,Taste of Kitchen Chinese,,,1352.94,2023,3,March,Thursday,1,10,False,Spring,Extra Large
171,2023-07-15,968,User_968,Bangalore,Regular,319,Darbar Eatery Family Restaurant,,,1102.1,2023,7,July,Saturday,3,28,True,Summer,Extra Large
172,2023-01-22,1953,User_1953,Chennai,Gold,332,Classic Delights Family Restaurant,,,1307.06,2023,1,January,Sunday,1,3,True,Winter,Extra Large
173,2023-06-18,1352,User_1352,Pune,Gold,109,Swagath Delights South Indian,Chinese,5.0,164.31,2023,6,June,Sunday,2,24,True,Summer,Small
174,2023-12-11,740,User_740,Hyderabad,Gold,371,Sai Dhaba Family Restaurant,,,1161.71,2023,12,December,Monday,4,50,False,Winter,Extra Large
175,2023-10-27,238,User_238,Hyderabad,Regular,379,New Dhaba South Indian,,,1482.75,2023,10,October,Friday,4,43,False,Fall,Extra Large
176,2023-12-17,2544,User_2544,Hyderabad,Gold,171,Ruchi Mess Non-Veg,Mexican,3.6,552.39,2023,12,December,Sunday,4,50,True,Winter,Medium
177,2023-05-15,2271,User_2271,Pune,Gold,117,Darbar Eatery North Indian,Indian,3.9,1088.98,2023,5,May,Monday,2,20,False,Spring,Extra Large
